,AGE,GENDER,STATE,EDUC,MARRIED,JOB,INC,PEOPLE,PINC,CEREAL,ROOT,VEGAN,FRUITS,MEAT,EGGS,MILK,OIL,SUGAR,WELL,CWELL,PWELL,ORG,CORG,PORG,GARDEN,CGARDEN,PGARDEN,VEG,CVEG,PVEG,GARDV1,GARDV2,GARDV3,GARDV4,GARDV5,NGARD,FGARD,INDEXV,INDEXN,VEGROOT,MEETEGG,DEPRATIO
147,24.0,0.0,RJ,11.0,1.0,1.0,1500.0,4.0,3.0,4.0,4.0,2.0,7.0,4.0,4.0,7.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,71.0,3,7.0,7.0,0.25
148,27.0,1.0,PE,16.0,1.0,1.0,4500.0,4.0,2.0,7.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,7.0,4.0,3.0,3.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,66.0,3,7.0,6.0,0.5
149,32.0,1.0,CE,16.0,1.0,1.0,1500.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,107.5,3,7.0,7.0,0.0
150,44.0,1.0,PE,16.0,1.0,1.0,4500.0,3.0,2.0,7.0,0.0,6.0,5.0,5.0,0.0,3.0,7.0,7.0,7.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,89.0,3,7.0,3.0,0.3333333333333333
151,40.0,1.0,PE,16.0,0.0,1.0,2500.0,4.0,2.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,108.0,3,7.0,7.0,0.5
152,51.0,0.0,PE,16.0,0.0,1.0,2500.0,4.0,2.0,6.0,3.0,6.0,5.0,6.0,3.0,5.0,6.0,6.0,6.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,3,7.0,7.0,0.5
153,58.0,1.0,PE,16.0,1.0,1.0,2500.0,1.0,1.0,3.0,2.0,4.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,96.5,3,5.0,7.0,0.0
154,39.0,1.0,PE,14.0,0.0,1.0,2500.0,4.0,2.0,7.0,2.0,5.0,2.0,5.0,6.0,5.0,4.0,6.0,5.0,3.0,1.0,1.0,5.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,85.5,3,7.0,7.0,0.5
155,37.0,1.0,PE,22.0,0.0,1.0,2500.0,3.0,2.0,7.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,3.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,99.5,3,7.0,7.0,0.3333333333333333
156,45.0,1.0,PE,16.0,1.0,1.0,2500.0,1.0,0.0,7.0,2.0,4.0,1.0,7.0,0.0,5.0,7.0,7.0,7.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0,3,7.0,5.0,1.0
