METRO;CAPITAL;IPS;VAB21;PIB21;PIBPC21;ATV;POP21;ARREC23;DEMA;DESMAR;MORTR;MORTI;MORT;MORTINF;HOSP;SUBN;AGUA;ESG;IAGUA;PAGUA;COLETA;LUZ;PAREDE;PISO;ASSJ;ASSM;MORTAT;HOMI;ABNEF;ABNEM;EVSEM;DSTIEM;IDEBF;REPM;INTER;BANDA;TELM;QINTM;EXPVIDA;MRT1550;MRTCRN;OBS;SUI;VERDE;CO2;CALOR;VUNEC;VEG;DIRH;JUS;CULT;GRAV19;PARQUE;TRABI;VMULHER;ESUP;ENEM;FBE14;AG;PEC
0;0;48,05;238005,33;246208,62;115753,94;AGR;2127;7207173,69;21,78;1,41;92,21;0;106,8;17,22;1034,32;2,31;66,35;8,78;49,27;66,4;37,48;92,34;61,24;94,74;44,74;18,73;18,55;92,76;0,3;1,2;9,9;21,3;4,85;5,82;57,23;4,07;78,78;95,97;73,98;2,75;419,6;33,22;0;1,24;367,55;867,35;56,34;17,76;2;1,05;2;25,71;0;0;93,98;21,12;462,89;4,85;1;0
0;0;59,62;103395,52;107029,67;39684,71;PEC;2697;5742442,8;69,97;0,47;36,02;5,79;195,68;50;964,03;5,45;66,15;36,74;48,14;0,44;73,34;96,35;87,94;98,89;0;0;6,5;0;0,38;0,8;10,6;20,5;5,45;5,3;48,61;8,41;82,28;88,85;72,94;2,19;340,34;16,36;6,5;1,05;82,59;16,27;49,93;39,41;2;1,26;2;12,5;1,27;0;133,69;52,5;491,7;5,45;0;1
0;0;55,9;125045,79;130675,81;26335,31;PEC;4962;5969471,26;89,22;0,12;58,01;0;74,64;10,07;382,91;4,3;34,39;0,82;24;31,44;11,89;90,25;91,7;99,74;21,39;7,72;3,8;11,41;1;14,9;7,6;25,3;4,95;0,9;44,84;0,08;55,27;95,29;71,78;1,2;322,7;13,98;3,8;1,95;51,94;1,9;54,2;44,45;5;1,26;2;21,67;2,42;4,57;39;34,92;520,89;4,95;0;1
0;0;50,23;458881,54;488042,89;23143,16;PEC;21088;16579617,47;23,86;2,85;24,18;4,84;97,31;27,97;716,05;4,35;0,28;11,98;7,4;30,77;58,88;97,03;93,3;96,8;18,36;1,89;24,56;42,98;1,2;6,6;5,7;16,3;5;2,7;54,18;16,12;57,78;92,98;70,04;1,93;401,81;24,38;18,42;0,91;124,94;128,95;56,18;19,77;11;0,91;1;16,43;0;5,4;499,19;39,11;537,87;5;0;1
0;0;52,5;309561,57;332986,99;28109,66;PEC;11846;24249103,63;37,97;5,75;25,31;8,02;137,07;10,7;903,26;4,76;16,98;5,46;28,85;45,73;42,58;90,89;98,37;97,71;66,67;36,73;30,44;71,61;0,1;0;6,2;15,8;5;4,4;46,17;19,38;64,66;92,8;71,75;2,38;406,22;22,58;8,95;2,74;315,33;98,47;59,66;28,7;6;0,89;3;10,16;2,04;0,72;73,46;35,65;519,6;5;0;1
0;0;51,61;116276,53;121300,64;29158,81;PEC;4160;8273330,6;95,72;0,16;23,62;0;78,28;20,92;625;7,3;12,12;13,54;3,46;65,33;50,93;95,6;94,82;99,51;110,62;9,65;23,5;23,5;0,3;6,2;9,4;25,9;4,9;1,2;58,02;8,34;74,47;96,41;74,09;2,41;447,34;25,24;23,5;0,33;55,88;11,75;50,7;36,12;8;1,04;2;9,43;0;2,42;38,11;42,59;503,91;4,9;0;1
0;0;49,33;248890,68;257425,79;24876,86;PEC;10348;6707185,53;80,78;0,83;9,62;9,62;91,74;10,99;521,84;6,27;9,05;5,67;8,62;73,81;29,04;77,16;81,15;97,32;39,84;3,95;9,86;24,65;0,1;3,7;10;20,9;5,15;4,9;25,1;4,44;46,35;94,86;70,4;3,08;367,55;18,58;12,33;3,11;97,74;87,51;50,83;54,48;3;0,91;2;12,09;0;4,14;76,45;45,07;517,75;5,15;0;1
0;0;52,88;259924,73;273501,27;24682;PEC;11081;16216548,84;82,95;0,29;62,1;0;213,2;18,63;749,03;5,6;29,65;0,04;19,9;47,64;54,79;80,24;85,51;99,69;81,73;3,54;27,97;46,62;0,4;3,9;6,3;21,7;5;1,2;56,05;10,83;65,41;93,73;71,32;1,64;334,98;23,02;5,59;2,83;34,89;2,8;52,21;51,31;8;1,01;2;9,32;0,49;50,96;132,43;33,78;491,49;5;0;1
0;0;51,57;211877,62;220587,91;19106,79;ADM;11545;5460045,85;41,5;1,6;17,58;8,79;60,73;24,69;216,54;5,79;13,86;0,94;11,96;59,26;48,76;93,83;96,28;98,09;38,56;3,67;38,52;25,68;1,1;16,4;4,8;35,2;4,8;6,9;46,71;6,76;75,77;94,6;70,36;2,33;492,78;23,4;2,57;1,3;71,41;97,59;53,71;34,44;4;0,78;2;9,88;0;0;53,65;38,35;502,09;4,6;0;0
0;0;53,24;178911,57;185648,19;28605,27;PEC;6490;5878122,47;91,47;0,61;45,07;0;125,68;35,71;1155,62;5,6;1,06;16,3;10,74;61,82;47,33;79,81;89,25;98,45;46,08;0;46,3;15,43;1,2;5,6;8,3;27,2;4,85;0,7;39,26;7,77;51,72;96,89;72,5;2,51;364,47;20,14;3,09;0,16;70,97;18,52;54,77;48,71;3;1,04;2;15,48;0;0;31,52;47,41;505,46;4,85;0;1
0;0;46,72;377596,83;398724,88;25362,56;ADM;15721;16782729,55;69,16;5,56;71,01;0;189,17;24,39;279,88;4,11;27,89;83,91;35,55;80,59;50,87;89,18;77,11;86,63;68,43;14,56;18,54;42,79;3;15,1;2,7;35,4;4,7;8,3;52,57;1,15;71,29;90,98;73,45;3,26;344,91;19,16;21,4;6,67;75,01;121,25;52,1;54,88;3;0,68;2;20;0;3,65;334,94;27,46;504,06;5,2;0;0
