Column1;AGE;GENDER;STATE;EDUC;MARRIED;JOB;INC;PEOPLE;PINC;CEREAL;ROOT;VEGAN;FRUITS;MEAT;EGGS;MILK;OIL;SUGAR;WELL;CWELL;PWELL;ORG;CORG;PORG;GARDEN;CGARDEN;PGARDEN;VEG;CVEG;PVEG;GARDV1;GARDV2;GARDV3;GARDV4;GARDV5;NGARD;FGARD;INDEXV;INDEXN;VEGROOT;MEETEGG;DEPRATIO
287;640;10;BA;160;0;0;15000;40;30;70;70;70;70;70;70;70;70;70;0;50;50;20;50;20;20;10;10;50;10;10;10;0;0;0;0;0;10;1085;3;70;70;25
288;400;10;PE;160;0;10;45000;30;20;70;40;70;40;30;70;60;60;60;60;20;10;10;40;20;10;30;30;40;20;20;10;10;0;0;10;0;30;1000;3;70;70;3,33333E+15
289;620;10;SP;140;10;10;45000;10;10;70;20;70;30;70;70;10;20;50;50;20;30;50;40;30;50;30;40;20;20;30;10;0;0;10;10;0;30;860;3;70;70;0
290;480;10;RN;180;10;10;25000;20;10;70;30;70;70;70;70;50;50;50;50;40;40;50;40;40;50;40;40;40;30;40;10;0;0;0;0;0;10;1020;3;70;70;5
291;620;10;RJ;120;10;0;25000;10;0;70;10;50;40;40;10;0;50;70;70;50;40;40;50;30;40;50;40;50;20;30;10;0;0;10;10;0;30;680;3;70;10;10
292;620;10;SP;120;0;0;65000;30;10;70;0;70;30;60;70;20;70;70;70;40;30;20;40;30;30;40;40;30;30;30;10;10;10;10;10;10;50;1070;3;70;70;6,66667E+15
293;470;10;SP;140;10;10;15000;40;20;70;30;70;70;30;70;50;70;70;70;20;10;20;40;20;20;10;40;50;20;20;10;10;10;10;10;0;50;1080;3;70;70;5
294;480;10;PE;110;10;0;15000;10;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;20;10;40;10;10;10;10;0;10;10;0;0;30;0;1;0;0;10
295;660;10;SP;160;10;0;25000;10;0;70;70;40;70;70;50;30;70;70;70;30;50;40;30;30;40;50;40;30;20;20;10;0;0;10;10;0;30;1030;3;70;70;10
296;590;10;MG;160;10;10;45000;10;10;30;10;70;30;70;30;70;0;40;50;40;20;10;40;30;40;40;40;30;20;30;10;0;0;0;10;0;20;715;3;40;70;0
