IBGE;MUNIC;UF;ARRECADA;VABAGRO;VABIND;VABSER;VABSER;VABTOT;IMPLIQ;POP21;PIB;PIBPC;VAB1;VAB2;VAB3;RPC;PATLIQP;RMDEC;PATLIQD;POBE23;POB23;CADU
1302405;Lábrea;AM;12101891,09;234933,723;25786,638;106796,754;233507,82;601024,934;24173,615;47685,00;625198,549;13111,01;ADM;FLR;PEC;148,85;1112,36;5534,03;41355,70;33655;669;40203
1302504;Manacapuru;AM;41103245,92;409120,902;142289,413;368854,471;552761,491;1473026,277;71648,764;99613,01;1544675,041;15506,76;ADM;AGR;DMS;237,12;2232,22;4760,87;44818,29;67669;4236;85375
1302553;Manaquiri;AM;9434303,08;93213,197;14926,054;33241,913;162979,665;304360,829;6974,113;33981,00;311334,942;9162,03;ADM;AGR;FLR;58,80;247,79;4065,38;17132,16;12228;674;16528
1302603;Manaus;AM;21672348076;201066,729;37697008,57;33086598,86;11279397,52;82264071,68;21017364,36;2255902,85;103281436;45782,75;ITF;DMS;ADM;1012,45;21465,45;8019,39;170023,35;599446;183986;1028475
1302702;Manicoré;AM;23866625,43;184244,064;41055,747;128372,586;303517,605;657190,002;29089,196;57405,01;686279,198;11955,04;ADM;DMS;AGR;139,10;2645,40;4584,13;87178,15;22630;6178;37365
1302801;Maraã;AM;6567466,63;18701,158;7816,915;25730,476;119439,415;171687,964;4529,217;18297,99;176217,181;9630,41;ADM;DMS;FLR;78,55;195,16;4879,02;12121,69;13527;571;15099
1302900;Maués;AM;25013422,88;67606,848;36745,6;119688,201;344043,17;568083,818;27742,79;66159,00;595826,607;9005,98;ADM;DMS;AGR;123,62;1217,47;4484,20;44162,93;44787;1685;51371
1303007;Nhamundá;AM;9160210,83;27468,292;9860,055;41753,522;119446,699;198528,568;8476,633;21709,99;207005,201;9535,02;ADM;DMS;AGR;110,79;772,93;4732,56;33015,94;14241;620;17598
1303106;Nova Olinda do Norte;AM;28704518,34;39756,608;20970,982;57933,071;207199,971;325860,633;15791,589;38665,02;341652,222;8836,21;ADM;DMS;FLR;80,23;356,87;4781,83;21270,20;20518;1097;24853
1303205;Novo Airão;AM;11985353,85;8944,54;12582,543;40620,819;117356,829;179504,73;7028,623;20395,01;186533,353;9146,03;ADM;DMS;ELET;151,32;1725,61;4521,08;51556,09;8637;1438;12757
1303304;Novo Aripuanã;AM;14537320,39;56186,234;15548,872;39474,281;133342,086;244551,472;7870,482;26443,00;252421,954;9545,89;ADM;DMS;AGR;89,43;726,13;4196,81;34076,93;12207;797;15650
1303403;Parintins;AM;90501162,17;290478,698;92451,048;358506,633;594532,912;1335969,291;91015,055;116439,00;1426984,346;12255,21;ADM;DMS;AGR;257,29;2428,73;5193,69;49026,33;65342;3852;79749
1303502;Pauini;AM;2970810,85;37032,254;7530,596;32920,291;116552,872;194036,012;5505,312;19615,99;199541,324;10172,38;ADM;DMS;FLR;124,00;576,42;4533,31;21072,97;12548;749;15104
1303536;Presidente Figueiredo;AM;53358163,25;95258,695;433687,216;193115,421;266747,611;988808,942;43096,12;38095,00;1031905,063;27087,68;IEXT;ADM;DMS;302,92;1794,11;4900,62;29024,94;14854;3070;23650
1303569;Rio Preto da Eva;AM;7950996,16;87221,946;40821,396;77028,98;175770,115;380842,437;26303,4;34855,99;407145,836;11680,8;ADM;AGR;DMS;127,03;634,58;4332,48;21642,83;10898;3307;19167
1303601;Santa Isabel do Rio Negro;AM;473503737;17852,923;6115,777;25474,224;131235,411;180678,334;5138,625;26566,00;185816,959;6994,54;ADM;DMS;FLR;54,91;230,97;4317,15;18157,87;8863;374;10862
1303700;Santo Antônio do Içá;AM;7629783,47;26918,397;12934,345;46551,259;139600,063;226004,064;11309,948;20888,99;237314,012;11360,72;ADM;DMS;AGR;124,57;586,75;5059,90;23832,41;13776;4063;24435
1303809;São Gabriel da Cachoeira;AM;25262935,13;25902,229;25535,974;92871,271;258740,748;403050,221;20003,584;47031,01;423053,804;8995,21;ADM;DMS;ELET;297,98;1433,63;5734,49;27589,94;29162;3571;37349
