IBGE;MUNIC;UF;VABAG;VABIND;VABSER;VABADM;VABTOT;PIB;PIBPC
1505007;Nova Timboteua;PA;28335,388;5208,657;36231,206;68447,445;138222,697;147490,964;9426,75
1505031;Novo Progresso;PA;232427,769;92457,053;367124,605;146475,596;838485,023;971539,109;37701,86
1505064;Novo Repartimento;PA;399141,772;26054,288;253632,702;364349,354;1043178,117;1117033,949;14231,91
1505106;Óbidos;PA;426321,313;106455,483;148004,56;248952,305;929733,66;965929,856;18408,13
1505205;Oeiras do Pará;PA;192352,544;9163,871;42140,788;167552,583;411209,786;419076,519;12629,63
1505304;Oriximiná;PA;312023,296;949672,698;477469,124;411977,231;2151142,35;2278575,408;30413,04
1505403;Ourém;PA;59918,383;16481,341;40563,306;73399,317;190362,347;200628,505;11097,32
1505437;Ourilândia do Norte;PA;95171,973;574426,123;230579,929;167997,849;1068175,875;1302429,284;38498,1
1505486;Pacajá;PA;413224,876;28157,88;149731,24;232537,8;823651,796;867605,169;17666,57
1505494;Palestina do Pará;PA;40875,031;2331,013;14845,96;37273,247;95325,251;98768,862;13038,79
1505502;Paragominas;PA;433732,686;1596136,91;1267572,059;559373,192;3856814,847;4280508,364;36952,54
1505536;Parauapebas;PA;238182,766;40659673,7;5656071,734;1802751,506;48356679,71;49763039,61;227449,71
1505551;Pau D'Arco;PA;56577,632;3676,102;14937,456;36388,853;111580,043;114869,818;21515,23
1505601;Peixe-Boi;PA;19299,565;2304,036;11433,991;37028,703;70066,296;72327,031;8946,94
1505635;Piçarra;PA;166604,938;12305,912;33534,183;68318,674;280763,707;292754,579;22561,23
1505650;Placas;PA;111622,989;9843,955;50908,949;136908,995;309284,888;323262,678;10000,39
1505700;Ponta de Pedras;PA;69027,147;6216,107;46424,185;143606,743;265274,182;275229,855;8599,05
1505809;Portel;PA;466733,269;34412,11;102627,849;318990,696;922763,924;945733,128;14816,2
1505908;Porto de Moz;PA;104945,173;10796,907;61399,33;213536,023;390677,432;404676,632;9531,67
1506005;Prainha;PA;219178,132;14027,195;47591,54;153224,357;434021,224;442969,465;14851,29
1506104;Primavera;PA;5222,329;162585,955;33624,726;56921,895;258354,904;321726,054;29545,97
1506112;Quatipuru;PA;37132,453;3066,03;16689,734;60981,364;117869,58;120881,856;8763,36
1506138;Redenção;PA;200284,487;302593,254;1238361,118;393000,017;2134238,876;2552479,294;29567,91
