IBGE;MUNIC;NHB2114;NHB2115;NHB2116;NHB2117;NHB2118;NHB2119;NHB2120;NHB2121;NHB2122;NHB2123;NHB2124;NHB2214;NHB2215;NHB2216;NHB2217;NHB2218;NHB2219;NHB2220;NHB2221;NHB2222;NHB2223;NHB2224;NHB2314;NHB2315;NHB2316;NHB2317;NHB2318;NHB2319;NHB2320;NHB2321;NHB2322
1100452;Buritis;0,61;0,56;0,48;0,51;0,46;0,52;0,65;0,74;0,76;1,05;2,04;28,51;23,64;18,92;15,02;13,22;14,32;16,53;18,76;15,56;14,37;12,10;;;3,90;9,08;10,66;8,87;10,84;12,42;25,21
1100502;Novo Horizonte do Oeste;13,06;15,29;15,77;18,46;19,42;22,71;24,42;24,76;26,45;27,29;27,48;36,47;30,43;25,25;20,25;15,86;15,34;13,58;12,77;11,53;10,71;10,22;16,67;21,87;16,63;23,75;21,06;16,92;32,51;16,92;16,89
1100601;Cacaulândia;6,70;6,71;7,25;7,58;8,05;9,82;10,54;11,51;13,09;13,36;14,11;27,49;14,27;5,16;4,21;3,07;4,95;4,38;11,58;16,88;20,43;24,54;9,96;11,69;9,34;11,52;12,50;13,45;10,58;12,32;23,16
1100700;Campo Novo de Rondônia;17,18;17,35;22,15;23,27;22,51;23,98;23,98;23,89;25,39;25,42;26,83;28,18;17,46;9,32;6,78;5,43;4,26;3,93;5,68;9,56;9,88;9,41;21,31;26,62;26,47;26,62;27,52;27,27;27,02;26,79;25,27
1100809;Candeias do Jamari;49,74;52,29;53,76;51,93;49,91;47,08;45,67;50,68;52,62;51,77;51,87;49,76;52,79;59,16;66,94;69,08;72,84;74,69;85,11;91,74;94,10;94,95;51,84;52,24;48,95;48,64;48,75;48,59;43,64;43,12;63,76
1100908;Castanheiras;26,63;29,19;35,60;36,38;34,29;38,34;41,11;41,11;39,12;39,97;39,43;31,22;22,76;13,15;10,75;11,60;34,90;49,91;52,03;44,91;54,57;48,00;17,74;20,10;16,86;26,96;23,37;23,39;25,38;23,37;22,27
1100924;Chupinguaia;59,35;55,19;54,90;56,20;62,42;64,62;67,94;70,28;69,91;70,23;70,34;42,97;63,85;74,93;63,01;42,61;31,26;25,44;20,64;18,48;15,36;15,02;;;;78,36;;;100,00;99,02;96,53
1100940;Cujubim;6,82;6,27;6,46;5,75;5,17;5,37;5,59;5,21;5,32;5,49;5,75;8,24;4,43;2,36;1,63;1,10;2,65;11,77;17,35;21,81;28,61;35,02;9,17;9,99;7,31;8,76;8,11;7,79;6,21;7,00;15,82
1101005;Governador Jorge Teixeira;0,33;0,27;0,15;0,16;0,00;0,00;0,18;0,17;0,19;0,28;0,80;23,09;18,63;17,25;15,60;10,68;7,56;6,22;5,54;4,96;4,50;4,50;;;;;;;3,12;;22,48
1101104;Itapuã do Oeste;19,21;16,53;14,01;12,95;12,41;11,23;10,81;9,89;9,21;7,71;6,29;21,29;20,47;26,05;33,27;41,26;42,57;43,15;45,84;49,50;56,00;72,69;48,83;57,53;66,47;65,47;68,15;;;;
1101203;Ministro Andreazza;21,95;23,60;24,82;25,29;27,31;27,99;28,50;29,21;30,65;30,63;31,53;1,09;0,86;0,75;0,64;0,71;0,92;1,06;6,98;18,02;14,85;14,66;21,04;24,02;24,19;26,51;29,33;29,70;28,19;29,69;29,57
1101302;Mirante da Serra;10,86;12,49;13,89;14,47;17,38;18,22;19,89;20,35;20,62;21,50;21,32;12,27;2,67;1,19;1,15;3,04;8,06;10,31;11,99;11,29;10,96;10,86;19,55;23,44;19,55;23,88;26,69;25,53;24,49;24,65;37,48
1101401;Monte Negro;24,82;26,62;28,35;27,03;26,90;27,80;28,58;30,45;32,41;33,78;35,51;10,14;4,54;1,31;0,52;0,12;0,05;0,00;0,54;0,46;0,42;1,55;30,81;31,83;25,98;31,73;32,59;33,13;30,07;33,79;52,29
